cop_reward,thief_reward
-3.130000000000000338e+00,-4.500000000000000000e+01
4.648000000000000398e+01,4.000000000000000000e+00
4.839000000000000057e+01,2.000000000000000000e+00
4.478000000000000114e+01,6.000000000000000000e+00
4.167999999999999972e+01,1.000000000000000000e+01
4.762999999999999545e+01,3.000000000000000000e+00
4.762999999999999545e+01,3.000000000000000000e+00
-9.869999999999999218e+00,6.300000000000000000e+01
4.583999999999999631e+01,5.000000000000000000e+00
4.914999999999999858e+01,1.000000000000000000e+00
4.914999999999999858e+01,1.000000000000000000e+00
4.762999999999999545e+01,3.000000000000000000e+00
4.839000000000000057e+01,2.000000000000000000e+00
-9.389999999999998792e+00,6.300000000000000000e+01
4.744999999999999574e+01,3.000000000000000000e+00
-1.019999999999999929e+01,6.300000000000000000e+01
-1.699999999999999956e+00,-4.700000000000000000e+01
-9.389999999999998792e+00,6.300000000000000000e+01
4.914999999999999858e+01,1.000000000000000000e+00
4.763000000000000256e+01,3.000000000000000000e+00
4.924000000000000199e+01,1.000000000000000000e+00
4.332000000000000028e+01,8.000000000000000000e+00
4.596000000000000085e+01,5.000000000000000000e+00
-1.022999999999999865e+01,6.300000000000000000e+01
4.374000000000000199e+01,8.000000000000000000e+00
4.095000000000000284e+01,1.100000000000000000e+01
4.742000000000000171e+01,3.000000000000000000e+00
4.586999999999999744e+01,5.000000000000000000e+00
4.753999999999999915e+01,3.000000000000000000e+00
4.763000000000000256e+01,3.000000000000000000e+00
4.839000000000000057e+01,2.000000000000000000e+00
4.686999999999999744e+01,4.000000000000000000e+00
4.568999999999999773e+01,5.000000000000000000e+00
4.256000000000000227e+01,9.000000000000000000e+00
4.605000000000000426e+01,5.000000000000000000e+00
4.517000000000000171e+01,6.000000000000000000e+00
-2.489999999999999769e+00,-4.600000000000000000e+01
4.250000000000000000e+01,9.000000000000000000e+00
4.668999999999999773e+01,4.000000000000000000e+00
4.568999999999999773e+01,5.000000000000000000e+00
4.763000000000000256e+01,3.000000000000000000e+00
4.924000000000000199e+01,1.000000000000000000e+00
4.753999999999999915e+01,3.000000000000000000e+00
4.762999999999999545e+01,3.000000000000000000e+00
4.839000000000000057e+01,2.000000000000000000e+00
-9.389999999999998792e+00,6.300000000000000000e+01
4.914999999999999858e+01,1.000000000000000000e+00
4.744999999999999574e+01,3.000000000000000000e+00
-8.499999999999999778e-01,-4.800000000000000000e+01
4.662999999999999545e+01,4.000000000000000000e+00
4.046000000000000085e+01,1.200000000000000000e+01
4.428999999999999915e+01,7.000000000000000000e+00
4.571999999999999886e+01,5.000000000000000000e+00
4.392000000000000171e+01,8.000000000000000000e+00
4.343999999999999773e+01,8.000000000000000000e+00
4.601999999999999602e+01,5.000000000000000000e+00
4.771999999999999886e+01,3.000000000000000000e+00
-3.219999999999999751e+00,-4.500000000000000000e+01
0.000000000000000000e+00,-4.900000000000000000e+01
4.261999999999999744e+01,9.000000000000000000e+00
4.492999999999999972e+01,6.000000000000000000e+00
-1.760000000000000009e+00,-4.700000000000000000e+01
4.510999999999999943e+01,6.000000000000000000e+00
4.829999999999999716e+01,2.000000000000000000e+00
4.265000000000000568e+01,9.000000000000000000e+00
4.535000000000000142e+01,6.000000000000000000e+00
-7.600000000000000089e-01,-4.800000000000000000e+01
4.432000000000000028e+01,7.000000000000000000e+00
4.501999999999999602e+01,6.000000000000000000e+00
4.426000000000000512e+01,7.000000000000000000e+00
4.283000000000000540e+01,9.000000000000000000e+00
4.914999999999999858e+01,1.000000000000000000e+00
-1.699999999999999956e+00,-4.700000000000000000e+01
4.914999999999999858e+01,1.000000000000000000e+00
4.778000000000000114e+01,3.000000000000000000e+00
4.687000000000000455e+01,4.000000000000000000e+00
